 Freq MHz      IRQ RC6     Power W             RCS             BCS             VCS            VECS 
 req  act       /s   %   gpu   pkg       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
   0    0        0   0  0.01 13.14    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   0    0        0   0  0.00  6.81    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   0    0        0   0  0.00 17.65    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 268   71       19   0  0.03 18.80  100.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 527  395     1236   0  0.60 12.99   22.39   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
1099 1057       51   0  5.97 13.34   93.81   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
1099 1072        8   0  6.64 13.62   98.45   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
1098 1062        8   0  6.55 13.64   99.24   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
1099 1060       38   0  6.09 13.32   92.81   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
1099 1070        3   0  6.38 13.19   99.76   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
1105 1063       30   0  6.07 13.41   97.88   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
1098 1061       27   0  6.42 13.63   97.16   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
1098 1077        9   0  6.56 13.55   98.80   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
1099 1042      117   0  5.78 13.26   96.14   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
1104 1080      432   0  6.76 14.11   90.25   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
1099 1039      504   0  6.12 14.62   90.40   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
1099  947       53   0  5.90 14.65   79.75   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
1101    5        1   0  0.08  6.64    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
