name,shape_ref,shape_mir,maxdiff,mean_abs_diff,cosine_similarity,status
seam.asr,"[1, 512, 90]","[1, 512, 90]",0.0,0.0,1.000000238418579,OK
seam.F0_pred,"[1, 180]","[1, 180]",0.0,0.0,1.0,OK
seam.N_pred,"[1, 180]","[1, 180]",0.0,0.0,0.9999998807907104,OK
seam.style,"[1, 128]","[1, 128]",0.0,0.0,1.0,OK
encode.actv,"[1, 512, 180]","[1, 512, 180]",0.0,0.0,1.0000014305114746,OK
F0_conv.parametrizations.weight.0,"[1, 1, 3]","[1, 1, 3]",0.0,0.0,1.0,OK
F0_conv.parametrizations.weight,"[1, 1, 3]","[1, 1, 3]",0.0,0.0,1.0,OK
F0_conv,"[1, 1, 90]","[1, 1, 90]",0.0,0.0,1.0000001192092896,OK
N_conv.parametrizations.weight.0,"[1, 1, 3]","[1, 1, 3]",0.0,0.0,1.0000001192092896,OK
N_conv.parametrizations.weight,"[1, 1, 3]","[1, 1, 3]",0.0,0.0,1.0000001192092896,OK
N_conv,"[1, 1, 90]","[1, 1, 90]",0.0,0.0,1.0,OK
encode.norm1.fc,"[1, 1028]","[1, 1028]",0.0,0.0,0.9999999403953552,OK
encode.norm1.norm,"[1, 514, 90]","[1, 514, 90]",0.0,0.0,1.0000019073486328,OK
encode.norm1,"[1, 514, 90]","[1, 514, 90]",0.0,0.0,1.0000001192092896,OK
encode.pool,"[1, 514, 90]","[1, 514, 90]",0.0,0.0,1.0000011920928955,OK
encode.dropout,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0000005960464478,OK
encode.conv1.parametrizations.weight.0,"[1024, 514, 3]","[1024, 514, 3]",0.0,0.0,1.0000483989715576,OK
encode.conv1.parametrizations.weight,"[1024, 514, 3]","[1024, 514, 3]",0.0,0.0,1.0000483989715576,OK
encode.conv1,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.000001072883606,OK
encode.norm2.fc,"[1, 2048]","[1, 2048]",0.0,0.0,1.0000001192092896,OK
encode.norm2.norm,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0000007152557373,OK
encode.norm2,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.000000238418579,OK
encode.conv2.parametrizations.weight.0,"[1024, 1024, 3]","[1024, 1024, 3]",0.0,0.0,1.000123143196106,OK
encode.conv2.parametrizations.weight,"[1024, 1024, 3]","[1024, 1024, 3]",0.0,0.0,1.000123143196106,OK
encode.conv2,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0000007152557373,OK
encode.upsample,"[1, 514, 90]","[1, 514, 90]",0.0,0.0,1.0000001192092896,OK
encode.conv1x1.parametrizations.weight.0,"[1024, 514, 1]","[1024, 514, 1]",0.0,0.0,1.0000098943710327,OK
encode.conv1x1.parametrizations.weight,"[1024, 514, 1]","[1024, 514, 1]",0.0,0.0,1.0000098943710327,OK
encode.conv1x1,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0000015497207642,OK
encode,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0000007152557373,OK
asr_res.0.parametrizations.weight.0,"[64, 512, 1]","[64, 512, 1]",0.0,0.0,1.0000007152557373,OK
asr_res.0.parametrizations.weight,"[64, 512, 1]","[64, 512, 1]",0.0,0.0,1.0000007152557373,OK
asr_res.0,"[1, 64, 90]","[1, 64, 90]",0.0,0.0,0.9999995231628418,OK
asr_res,"[1, 64, 90]","[1, 64, 90]",0.0,0.0,0.9999995231628418,OK
decode.0.norm1.fc,"[1, 2180]","[1, 2180]",0.0,0.0,1.0000001192092896,OK
decode.0.norm1.norm,"[1, 1090, 90]","[1, 1090, 90]",0.0,0.0,1.0000003576278687,OK
decode.0.norm1,"[1, 1090, 90]","[1, 1090, 90]",0.0,0.0,1.000000238418579,OK
decode.0.pool,"[1, 1090, 90]","[1, 1090, 90]",0.0,0.0,1.0000032186508179,OK
decode.0.dropout,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0000017881393433,OK
decode.0.conv1.parametrizations.weight.0,"[1024, 1090, 3]","[1024, 1090, 3]",0.0,0.0,1.0001534223556519,OK
decode.0.conv1.parametrizations.weight,"[1024, 1090, 3]","[1024, 1090, 3]",0.0,0.0,1.0001534223556519,OK
decode.0.conv1,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0000008344650269,OK
decode.0.norm2.fc,"[1, 2048]","[1, 2048]",0.0,0.0,1.0000001192092896,OK
decode.0.norm2.norm,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0000009536743164,OK
decode.0.norm2,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0000009536743164,OK
decode.0.conv2.parametrizations.weight.0,"[1024, 1024, 3]","[1024, 1024, 3]",0.0,0.0,1.00011146068573,OK
decode.0.conv2.parametrizations.weight,"[1024, 1024, 3]","[1024, 1024, 3]",0.0,0.0,1.00011146068573,OK
decode.0.conv2,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0000007152557373,OK
decode.0.upsample,"[1, 1090, 90]","[1, 1090, 90]",0.0,0.0,1.000000238418579,OK
decode.0.conv1x1.parametrizations.weight.0,"[1024, 1090, 1]","[1024, 1090, 1]",0.0,0.0,1.000028371810913,OK
decode.0.conv1x1.parametrizations.weight,"[1024, 1090, 1]","[1024, 1090, 1]",0.0,0.0,1.000028371810913,OK
decode.0.conv1x1,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.000001311302185,OK
decode.0,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0000003576278687,OK
decode.1.norm1.fc,"[1, 2180]","[1, 2180]",0.0,0.0,1.0,OK
decode.1.norm1.norm,"[1, 1090, 90]","[1, 1090, 90]",0.0,0.0,0.9999998211860657,OK
decode.1.norm1,"[1, 1090, 90]","[1, 1090, 90]",0.0,0.0,1.000001072883606,OK
decode.1.pool,"[1, 1090, 90]","[1, 1090, 90]",0.0,0.0,1.0000005960464478,OK
decode.1.dropout,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0000015497207642,OK
decode.1.conv1.parametrizations.weight.0,"[1024, 1090, 3]","[1024, 1090, 3]",0.0,0.0,1.0001479387283325,OK
decode.1.conv1.parametrizations.weight,"[1024, 1090, 3]","[1024, 1090, 3]",0.0,0.0,1.0001479387283325,OK
decode.1.conv1,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.000001311302185,OK
decode.1.norm2.fc,"[1, 2048]","[1, 2048]",0.0,0.0,1.0,OK
decode.1.norm2.norm,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,0.9999998211860657,OK
decode.1.norm2,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.000000238418579,OK
decode.1.conv2.parametrizations.weight.0,"[1024, 1024, 3]","[1024, 1024, 3]",0.0,0.0,1.0001400709152222,OK
decode.1.conv2.parametrizations.weight,"[1024, 1024, 3]","[1024, 1024, 3]",0.0,0.0,1.0001400709152222,OK
decode.1.conv2,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.000000238418579,OK
decode.1.upsample,"[1, 1090, 90]","[1, 1090, 90]",0.0,0.0,1.0000001192092896,OK
decode.1.conv1x1.parametrizations.weight.0,"[1024, 1090, 1]","[1024, 1090, 1]",0.0,0.0,1.000032663345337,OK
decode.1.conv1x1.parametrizations.weight,"[1024, 1090, 1]","[1024, 1090, 1]",0.0,0.0,1.000032663345337,OK
decode.1.conv1x1,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0000016689300537,OK
decode.1,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0000005960464478,OK
decode.2.norm1.fc,"[1, 2180]","[1, 2180]",0.0,0.0,0.9999999403953552,OK
decode.2.norm1.norm,"[1, 1090, 90]","[1, 1090, 90]",0.0,0.0,0.9999999403953552,OK
decode.2.norm1,"[1, 1090, 90]","[1, 1090, 90]",0.0,0.0,1.0000019073486328,OK
decode.2.pool,"[1, 1090, 90]","[1, 1090, 90]",0.0,0.0,1.0000017881393433,OK
decode.2.dropout,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0000009536743164,OK
decode.2.conv1.parametrizations.weight.0,"[1024, 1090, 3]","[1024, 1090, 3]",0.0,0.0,1.000154972076416,OK
decode.2.conv1.parametrizations.weight,"[1024, 1090, 3]","[1024, 1090, 3]",0.0,0.0,1.000154972076416,OK
decode.2.conv1,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0000008344650269,OK
decode.2.norm2.fc,"[1, 2048]","[1, 2048]",0.0,0.0,0.9999999403953552,OK
decode.2.norm2.norm,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0000001192092896,OK
decode.2.norm2,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0,OK
decode.2.conv2.parametrizations.weight.0,"[1024, 1024, 3]","[1024, 1024, 3]",0.0,0.0,1.0001280307769775,OK
decode.2.conv2.parametrizations.weight,"[1024, 1024, 3]","[1024, 1024, 3]",0.0,0.0,1.0001280307769775,OK
decode.2.conv2,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0000005960464478,OK
decode.2.upsample,"[1, 1090, 90]","[1, 1090, 90]",0.0,0.0,1.0000007152557373,OK
decode.2.conv1x1.parametrizations.weight.0,"[1024, 1090, 1]","[1024, 1090, 1]",0.0,0.0,1.0000331401824951,OK
decode.2.conv1x1.parametrizations.weight,"[1024, 1090, 1]","[1024, 1090, 1]",0.0,0.0,1.0000331401824951,OK
decode.2.conv1x1,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0000011920928955,OK
decode.2,"[1, 1024, 90]","[1, 1024, 90]",0.0,0.0,1.0000003576278687,OK
decode.3.norm1.fc,"[1, 2180]","[1, 2180]",0.0,0.0,0.9999998807907104,OK
decode.3.norm1.norm,"[1, 1090, 90]","[1, 1090, 90]",0.0,0.0,1.0000001192092896,OK
decode.3.norm1,"[1, 1090, 90]","[1, 1090, 90]",0.0,0.0,1.000001311302185,OK
decode.3.pool.parametrizations.weight.0,"[1090, 1, 3]","[1090, 1, 3]",0.0,0.0,0.9999998807907104,OK
decode.3.pool.parametrizations.weight,"[1090, 1, 3]","[1090, 1, 3]",0.0,0.0,0.9999998807907104,OK
decode.3.pool,"[1, 1090, 180]","[1, 1090, 180]",0.0,0.0,1.000001311302185,OK
decode.3.dropout,"[1, 512, 180]","[1, 512, 180]",0.0,0.0,1.0000014305114746,OK
decode.3.conv1.parametrizations.weight.0,"[512, 1090, 3]","[512, 1090, 3]",0.0,0.0,1.000049352645874,OK
decode.3.conv1.parametrizations.weight,"[512, 1090, 3]","[512, 1090, 3]",0.0,0.0,1.000049352645874,OK
decode.3.conv1,"[1, 512, 180]","[1, 512, 180]",0.0,0.0,1.000001311302185,OK
decode.3.norm2.fc,"[1, 1024]","[1, 1024]",0.0,0.0,1.0,OK
decode.3.norm2.norm,"[1, 512, 180]","[1, 512, 180]",0.0,0.0,1.000000238418579,OK
decode.3.norm2,"[1, 512, 180]","[1, 512, 180]",0.0,0.0,1.0000007152557373,OK
decode.3.conv2.parametrizations.weight.0,"[512, 512, 3]","[512, 512, 3]",0.0,0.0,1.000016689300537,OK
decode.3.conv2.parametrizations.weight,"[512, 512, 3]","[512, 512, 3]",0.0,0.0,1.000016689300537,OK
decode.3.conv2,"[1, 512, 180]","[1, 512, 180]",0.0,0.0,1.0000008344650269,OK
decode.3.upsample,"[1, 1090, 180]","[1, 1090, 180]",0.0,0.0,1.0000027418136597,OK
decode.3.conv1x1.parametrizations.weight.0,"[512, 1090, 1]","[512, 1090, 1]",0.0,0.0,1.0000126361846924,OK
decode.3.conv1x1.parametrizations.weight,"[512, 1090, 1]","[512, 1090, 1]",0.0,0.0,1.0000126361846924,OK
decode.3.conv1x1,"[1, 512, 180]","[1, 512, 180]",0.0,0.0,0.9999997615814209,OK
decode.3,"[1, 512, 180]","[1, 512, 180]",0.0,0.0,1.0000001192092896,OK
generator.f0_upsamp,"[1, 1, 54000]","[1, 1, 54000]",0.0,0.0,1.0000066757202148,OK
generator.m_source.l_sin_gen,[1026000],[1026000],0.0,0.0,1.0001682043075562,OK
generator.m_source.l_linear,"[1, 54000, 1]","[1, 54000, 1]",0.0,0.0,1.0,OK
generator.m_source.l_tanh,"[1, 54000, 1]","[1, 54000, 1]",0.0,0.0,0.9999998807907104,OK
generator.m_source,[162000],[162000],0.0,0.0,1.0000001192092896,OK
generator.noise_convs.0,"[1, 256, 1800]","[1, 256, 1800]",0.0,0.0,1.0000065565109253,OK
generator.noise_res.0.adain1.0.fc,"[1, 512]","[1, 512]",0.0,0.0,1.0,OK
generator.noise_res.0.adain1.0.norm,"[1, 256, 1800]","[1, 256, 1800]",0.0,0.0,1.0000038146972656,OK
generator.noise_res.0.adain1.0,"[1, 256, 1800]","[1, 256, 1800]",0.0,0.0,1.0000122785568237,OK
generator.noise_res.0.convs1.0.parametrizations.weight.0,"[256, 256, 7]","[256, 256, 7]",0.0,0.0,1.0000059604644775,OK
generator.noise_res.0.convs1.0.parametrizations.weight,"[256, 256, 7]","[256, 256, 7]",0.0,0.0,1.0000059604644775,OK
generator.noise_res.0.convs1.0,"[1, 256, 1800]","[1, 256, 1800]",0.0,0.0,1.0000088214874268,OK
generator.noise_res.0.adain2.0.fc,"[1, 512]","[1, 512]",0.0,0.0,1.0,OK
generator.noise_res.0.adain2.0.norm,"[1, 256, 1800]","[1, 256, 1800]",0.0,0.0,1.0000073909759521,OK
generator.noise_res.0.adain2.0,"[1, 256, 1800]","[1, 256, 1800]",0.0,0.0,1.0000061988830566,OK
generator.noise_res.0.convs2.0.parametrizations.weight.0,"[256, 256, 7]","[256, 256, 7]",0.0,0.0,1.0000159740447998,OK
generator.noise_res.0.convs2.0.parametrizations.weight,"[256, 256, 7]","[256, 256, 7]",0.0,0.0,1.0000159740447998,OK
generator.noise_res.0.convs2.0,"[1, 256, 1800]","[1, 256, 1800]",0.0,0.0,1.0000081062316895,OK
generator.noise_res.0.adain1.1.fc,"[1, 512]","[1, 512]",0.0,0.0,1.0,OK
generator.noise_res.0.adain1.1.norm,"[1, 256, 1800]","[1, 256, 1800]",0.0,0.0,1.000007152557373,OK
generator.noise_res.0.adain1.1,"[1, 256, 1800]","[1, 256, 1800]",0.0,0.0,1.0000065565109253,OK
generator.noise_res.0.convs1.1.parametrizations.weight.0,"[256, 256, 7]","[256, 256, 7]",0.0,0.0,1.0000070333480835,OK
generator.noise_res.0.convs1.1.parametrizations.weight,"[256, 256, 7]","[256, 256, 7]",0.0,0.0,1.0000070333480835,OK
generator.noise_res.0.convs1.1,"[1, 256, 1800]","[1, 256, 1800]",0.0,0.0,1.0000063180923462,OK
generator.noise_res.0.adain2.1.fc,"[1, 512]","[1, 512]",0.0,0.0,0.9999999403953552,OK
generator.noise_res.0.adain2.1.norm,"[1, 256, 1800]","[1, 256, 1800]",0.0,0.0,1.0000054836273193,OK
generator.noise_res.0.adain2.1,"[1, 256, 1800]","[1, 256, 1800]",0.0,0.0,1.000006914138794,OK
